n,time_sec
2.000000000000000000e+02,1.340833405265584588e-04
3.000000000000000000e+02,3.357776634705563206e-04
4.000000000000000000e+02,5.709723288115734494e-04
6.000000000000000000e+02,1.528347342779549532e-03
8.000000000000000000e+02,3.082555665362936900e-03
1.000000000000000000e+03,4.950388669385574758e-03
1.200000000000000000e+03,8.173652672364065466e-03
1.400000000000000000e+03,1.288494500234567929e-02
1.600000000000000000e+03,2.000788899992282308e-02
1.800000000000000000e+03,2.625272233854047954e-02
2.000000000000000000e+03,3.757262466630587744e-02
